Brand,Generation(G),Color,Ratings,RAM(GB),ROM(GB),Display(inch),Camera(MP),Battery(mAh),Reviews,Discount(%off),Price(rupees)
SAMSUNG,,,4.5,,,1.5,,800,10698.0,27.0,1699.0
OnePlus,5,Sonic Black,3.6,8,128,6.7,50,5000,836.0,31.0,39999.0
OnePlus,5,Sonic Black,4.3,8,128,6.7,50,5000,3107.0,33.0,39809.0
I,,champagne,4.0,6,128,6.5,13,5000,5465.0,10.0,7989.0
POCO,,Matte Black,4.3,4,128,6.74,50,5000,217788.0,9.0,7499.0
SAMSUNG,,,4.4,,0,,0,800,17047.0,9.0,1740.0
SAMSUNG,,,4.4,,16,,0,800,17047.0,9.0,2499.0
realme,5,Astral Black,4.4,12,256,6.7,200,5000,17047.0,2.0,29999.0
realme,5,Oasis Green,4.4,12,256,6.7,200,5000,42632.0,36.0,29999.0
realme,5,Sunrise Beige,4.1,12,256,6.7,200,5000,28398.0,30.0,29999.0
OnePlus,5,Chromatic Gray,4.0,8,256,6.72,108,5000,4316.0,44.0,21484.0
REDMI,,Lunar Black,3.9,6,64,6.67,50,5000,7059.0,26.0,11999.0
Micromax,,,4.2,,,1.77,3,800,6479.0,22.0,844.0
itel,,,4.1,,,2.4,3,2500,13098.0,54.0,1779.0
REDMI,5,Jade Black,4.3,8,256,6.79,50,5000,124699.0,30.0,14620.0
REDMI,5,Sunrise Gold,4.0,6,128,6.67,48,5000,19788.0,30.0,16999.0
Samsung,5,Graphite,4.0,8,128,6.4,12,4500,,9.0,31999.0
Kechaoda,,,5.0,,16,0.66,,800,,9.0,975.0
MOTOROLA,5,Midnight Blue,4.2,12,256,6.55,50,5000,28147.0,17.0,18999.0
APPLE,,Black,4.6,,64,6.1,12,,207174.0,15.0,41999.0
OPPO,5,Rock Grey,4.2,8,256,6.7,50,5000,4248.0,21.0,31999.0
OPPO,5,Pearl White,4.0,12,256,6.7,50,4600,2270.0,11.0,39999.0
Infinix,5,Knight Black,4.2,4,128,6.78,50,6000,6479.0,16.0,12499.0
LAVA,,,4.3,,32,1.77,,1000,217788.0,25.0,1028.0
REDMI,5,Pastel Blue,4.4,8,256,6.79,50,5000,103760.0,25.0,14999.0
SAMSUNG,,,4.4,,16,,0,800,103760.0,35.0,1670.0
realme,,Rainy Night,4.0,4,64,6.72,64,5000,881.0,30.0,8999.0
realme,,Sunshower,4.4,4,64,6.72,64,5000,2860.0,30.0,8999.0
itel,,Moonlit Violet,4.2,8,128,6.6,8,5000,6501.0,27.0,6505.0
OnePlus,5,Aqua Surge,4.2,12,256,6.7,50,5000,22527.0,3.0,27907.0
Infinix,5,Fantasy Purple,4.2,12,256,6.78,108,5000,22527.0,20.0,23999.0
Infinix,5,Aurora Blue,4.4,8,128,6.78,50,6000,4105.0,23.0,12999.0
Infinix,5,Miami Orange,4.3,8,128,6.78,50,6000,194936.0,23.0,12999.0
OnePlus,5,Aqua Surge,4.6,8,128,6.7,50,5000,1374.0,8.0,24579.0
SAMSUNG,,Nightsky Green,4.3,4,128,6.6,50,6000,17197.0,50.0,8499.0
APPLE,,Pink,4.3,,256,6.7,48,,30849.0,12.0,86999.0
realme,,Rainforest,4.3,6,64,6.72,64,5000,12601.0,14.0,11999.0
realme,,Rainforest,3.5,8,128,6.72,64,5000,151.0,12.0,13999.0
OPPO,,Lake Blue,4.3,4,64,6.56,50,5000,1171.0,33.0,9999.0
Jio,,UPI,4.2,,,2.4,3,2000,4248.0,43.0,1479.0
Google,,Hazel,4.2,8,256,6.2,50,4575,,16.0,82999.0
